name,n,nnz,aver_nnz,var_nnz,ell_ratio, median,mode_element,SD_nnz,TB_size,maxregcount,mem_setting,format,energy,performance,av_pow,perf_per_watt,,mem_setting,0=Equal,1=L1,2=None,3=Shared
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,56,2,0,0.017484066,591.4926,29.50657452,194087173.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,64,2,0,0.017577252,596.525,29.45103866,192812719.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,72,2,0,0.017624429,595.0894,29.55930108,192569972.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,128,2,0,0.017465326,589.7876,29.52888813,194501167.6,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,255,2,0,0.017436073,588.9962,29.47045519,195148675.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,16,3,0,0.016026913,543.7432,29.46315567,211442286,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,24,3,0,0.016643609,573.4966,29.07065515,203179214.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,32,3,0,0.015226878,514.9192,29.49967473,223001935,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,40,3,0,0.015255778,515.472,29.52444961,222575857.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,48,3,0,0.015270039,517.1516,29.51795986,221901753.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,56,3,0,0.0153289,518.2076,29.52532159,221394348.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,64,3,0,0.015350527,518.6282,29.48473299,221519324.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,72,3,0,0.015426992,521.3434,29.55061775,219874315.6,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,128,3,0,0.015376992,520.4266,29.48900632,220721846.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,255,3,0,0.015440659,521.8106,29.51755474,219923516.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,16,3,0,0.015733497,533.8358,29.43501752,215572297.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,24,3,0,0.01642731,564.6482,29.03336531,206628212.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,32,3,0,0.015056311,510.1284,29.4726805,225302393.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,40,3,0,0.014987732,505.973,29.39088903,227784872.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,48,3,0,0.015041719,509.1448,29.49147207,225593811.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,56,3,0,0.015078669,509.9984,29.48466917,225268191.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,64,3,0,0.015093771,509.4206,29.49615064,225435911.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,72,3,0,0.015088614,509.8282,29.48379873,225350047,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,128,3,0,0.01514819,512.1716,29.52475467,224007806.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,255,3,0,0.015128241,511.8854,29.54668928,223966661.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,16,3,0,0.015578637,530.4562,29.2804841,218090707.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,24,3,0,0.016459127,559.7968,29.44137287,205530593.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,32,3,0,0.014911105,507.1698,29.29049593,228026244.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,40,3,0,0.014986679,505.992,29.43008092,227472991,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,48,3,0,0.014950231,506.255,29.48017012,226968524.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,56,3,0,0.015029192,508.146,29.59098876,225277053.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,64,3,0,0.015042403,507.4284,29.46921345,226527864,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,72,3,0,0.014876779,502.5358,29.49210189,228555782.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,128,3,0,0.014940948,505.6966,29.48420197,227188076,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,512,255,3,0,0.015092275,510.4806,29.49311137,224990982.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,16,3,0,0.01980222,670.7436,29.49935986,171196868.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,24,3,0,0.020256741,688.5796,29.36297536,167536999,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,32,3,0,0.019707254,667.902,29.46377449,172132873.6,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,40,3,0,0.019783362,667.6006,29.53130249,171816799.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,48,3,0,0.019756395,667.5878,29.51873636,171893237.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,56,3,0,0.019839421,669.754,29.55454449,171129688,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,64,3,0,0.019747088,666.9448,29.56871162,171768155.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,72,3,0,0.019649368,663.2854,29.55314608,172806783.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,128,3,0,0.019746876,667.0044,29.54496926,171890827.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,1024,255,3,0,0.019848865,670.433,29.53444753,171072700.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,16,0,1,0.130664751,4536.92,28.1497034,26523449.17,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,24,0,1,0.130771839,4536.775,28.25326974,26427068.34,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,32,0,1,0.102570328,3638.155,27.61590741,33715098.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,40,0,1,0.103551775,3635.71,27.93058045,33357673.13,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,48,0,1,0.103112917,3634.59,27.74202885,33594741.08,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,56,0,1,0.103047276,3633.82,27.85228769,33468840.08,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,64,0,1,0.102735362,3635.835,27.62934525,33720203.39,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,72,0,1,0.103432014,3636.375,27.84834151,33450063.39,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,128,0,1,0.103067336,3633.995,27.67046214,33687145.06,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,255,0,1,0.103280573,3634.76,27.80874831,33512572.24,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,16,0,1,0.129408042,4486.06,28.26608701,26713708.05,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,24,0,1,0.129599468,4487.23,28.30526899,26669773.53,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,32,0,1,0.100973806,3557.365,27.81524356,34233684.96,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,40,0,1,0.100713593,3558.635,27.52764662,34578998.79,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,48,0,1,0.10067338,3555.575,27.78682244,34285952.17,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,56,0,1,0.100952918,3559.83,27.66357047,34397545.46,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,64,0,1,0.099697076,3539.09,27.40271409,34928485.75,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,72,0,1,0.100585353,3555.085,27.72385782,34368556.57,,,,,,
